date,BTC Price,Regime Label,regime_0,regime_1,regime_2,regime_3,regime_4,Mean Rolling Label
2020-01-01,7200,0,0.6,0.15,0.1,0.1,0.05,0
2020-02-01,8500,0,0.55,0.2,0.1,0.1,0.05,0
2020-03-01,6400,4,0.05,0.05,0.05,0.05,0.8,4
2020-04-01,7800,0,0.5,0.25,0.1,0.1,0.05,0
2020-05-01,9200,0,0.6,0.15,0.1,0.1,0.05,0
2020-06-01,9500,0,0.55,0.2,0.1,0.1,0.05,0
2020-07-01,11000,1,0.1,0.6,0.15,0.1,0.05,1
2020-08-01,11800,1,0.05,0.65,0.15,0.1,0.05,1
2020-09-01,10800,0,0.5,0.25,0.1,0.1,0.05,0
2020-10-01,13500,1,0.1,0.65,0.1,0.1,0.05,1
2020-11-01,19700,2,0.05,0.1,0.7,0.1,0.05,2
2020-12-01,28900,3,0.05,0.05,0.1,0.75,0.05,3
2021-01-01,33100,2,0.05,0.1,0.7,0.1,0.05,2
2021-02-01,45200,3,0.05,0.05,0.1,0.75,0.05,3
2021-03-01,58900,3,0.03,0.02,0.05,0.85,0.05,3
2021-04-01,63500,3,0.05,0.05,0.1,0.75,0.05,3
2021-05-01,37300,4,0.05,0.05,0.1,0.1,0.7,4
2021-06-01,35900,0,0.5,0.25,0.1,0.1,0.05,0
2021-07-01,41500,1,0.1,0.6,0.15,0.1,0.05,1
2021-08-01,47100,2,0.05,0.1,0.7,0.1,0.05,2
2021-09-01,43800,1,0.1,0.6,0.15,0.1,0.05,1
2021-10-01,61300,3,0.05,0.05,0.1,0.75,0.05,3
2021-11-01,57200,2,0.05,0.1,0.7,0.1,0.05,2
2021-12-01,46200,1,0.1,0.6,0.15,0.1,0.05,1
2022-01-01,38500,4,0.05,0.1,0.1,0.1,0.65,4
2022-02-01,43900,1,0.1,0.6,0.15,0.1,0.05,1
2022-03-01,45500,1,0.05,0.65,0.15,0.1,0.05,1
2022-04-01,37800,4,0.05,0.05,0.1,0.1,0.7,4
2022-05-01,31800,4,0.03,0.02,0.05,0.1,0.8,4
2022-06-01,20100,4,0.02,0.01,0.02,0.05,0.9,4
2022-07-01,23300,4,0.03,0.02,0.05,0.1,0.8,4
2022-08-01,20000,4,0.02,0.01,0.02,0.05,0.9,4
2022-09-01,19400,4,0.02,0.01,0.02,0.05,0.9,4
2022-10-01,20500,4,0.03,0.02,0.05,0.1,0.8,4
2022-11-01,17200,4,0.02,0.01,0.02,0.05,0.9,4
2022-12-01,16500,4,0.02,0.01,0.02,0.05,0.9,4
2023-01-01,23100,0,0.5,0.25,0.1,0.1,0.05,0
2023-02-01,23500,0,0.5,0.25,0.1,0.1,0.05,0
2023-03-01,28400,0,0.55,0.2,0.1,0.1,0.05,0
2023-04-01,29200,0,0.55,0.2,0.1,0.1,0.05,0
2023-05-01,27200,0,0.5,0.25,0.1,0.1,0.05,0
2023-06-01,30500,0,0.55,0.2,0.1,0.1,0.05,0
2023-07-01,29800,0,0.55,0.2,0.1,0.1,0.05,0
2023-08-01,26100,0,0.5,0.25,0.1,0.1,0.05,0
2023-09-01,27000,0,0.5,0.25,0.1,0.1,0.05,0
2023-10-01,34500,1,0.05,0.65,0.15,0.1,0.05,1
2023-11-01,37700,1,0.05,0.65,0.15,0.1,0.05,1
2023-12-01,42200,2,0.05,0.1,0.7,0.1,0.05,2
2024-01-01,43000,2,0.05,0.1,0.7,0.1,0.05,2
